Date,Open,High,Low,Close,Volume,ROC,Net Change
2024-08-02,166.44,168.51,164.67,166.66,29.13,-2.4,0.13
2024-08-01,170.25,174.05,168.88,170.76,24.531,-0.45,0.3
2024-07-31,173.24,174.24,170.01,171.54,25.729,0.73,-0.98
2024-07-30,170.24,171.23,168.44,170.29,18.96,0.45,0.03
2024-07-29,168.83,170.43,167.99,169.53,20.294,1.51,0.41
2024-07-26,167.15,168.09,164.06,167.0,41.337,-0.17,-0.09
2024-07-25,172.52,173.42,167.19,167.28,44.852,-3.1,-3.04
2024-07-24,173.6,176.19,171.82,172.63,49.585,-5.04,-0.56
2024-07-23,182.05,183.61,181.54,181.79,36.353,0.07,-0.14
2024-07-22,180.59,182.7,180.23,181.67,24.1,2.26,0.6
2024-07-19,178.88,180.29,177.13,177.66,18.882,-0.02,-0.68
2024-07-18,181.93,182.5,176.47,177.69,25.316,-1.84,-2.33
2024-07-17,182.96,183.55,179.9,181.02,20.734,-1.58,-1.06
2024-07-16,187.36,188.68,183.37,183.92,18.291,-1.4,-1.84
2024-07-15,184.92,188.24,184.92,186.53,16.474,0.79,0.87
2024-07-12,185.08,187.11,184.49,185.07,22.898,-0.27,-0.01
2024-07-11,189.84,190.86,185.08,185.57,25.626,-2.93,-2.25
2024-07-10,189.15,191.75,189.03,191.18,15.952,1.16,1.07
2024-07-09,190.31,191.36,188.72,188.98,15.141,-0.03,-0.7
2024-07-08,189.9,190.17,187.78,189.03,21.036,-0.82,-0.46
2024-07-05,185.86,190.86,185.8,190.6,20.967,2.57,2.55
2024-07-03,184.85,186.09,184.0,185.82,10.242,0.31,0.52
2024-07-02,182.05,185.57,181.56,185.24,17.372,1.23,1.75
2024-07-01,183.03,183.88,181.3,182.99,16.006,0.46,-0.02
2024-06-28,184.32,185.13,181.96,182.15,29.157,-1.76,-1.18
2024-06-27,184.18,186.05,184.02,185.41,18.849,0.83,0.67
2024-06-26,182.63,184.51,182.48,183.88,19.839,-0.08,0.68
2024-06-25,179.62,184.29,179.42,184.03,23.236,2.68,2.46
2024-06-24,180.16,180.89,178.67,179.22,18.298,-0.23,-0.52
2024-06-21,177.0,180.85,176.61,179.63,58.583,1.89,1.49
2024-06-20,175.37,177.29,174.99,176.3,20.16,0.69,0.53
2024-06-18,177.14,177.38,174.1,175.09,21.87,-1.21,-1.16
2024-06-17,175.46,178.36,174.81,177.24,19.618,0.25,1.01
